Block	Strain	Genotype	X	Y	Latence	NbSS	Taille
B4est_1_Bloc_1-28x3	09AX27	N-35	1	13	9.56091124	6.64706712	3.23382065
B4est_1_Bloc_1-28x3	09AX27	NOH-13	2	13	10.64448345	3.95268756	3.42583487
B4est_1_Bloc_1-28x3	09AX27	N-1	3	13	11.07418796	1.41150435	3.54835419
B4est_1_Bloc_1-28x3	09AX27	6-A18	4	13	10.81232974	6.12047005	3.36795872
B4est_1_Bloc_1-28x3	09AX27	SSN-01	5	13	10.61303751	9.88899055	3.47573139
B4est_1_Bloc_1-28x3	09AX27	BDX-09	6	13	8.82840747	1.84791674	3.61180376
B4est_1_Bloc_1-28x3	09AX27	71077-308	7	13	NA	2.36436491	NA
B4est_1_Bloc_1-28x3	09AX27	KUH-56	8	13	9.64448345	12.91683316	4.6844652
B4est_1_Bloc_1-28x3	09AX27	ERS-18	9	13	10.5430679	23.7198281	4.52621195
B4est_1_Bloc_1-28x3	09AX27	92510-1	10	13	10.06700067	3.12454255	3.41103621
B4est_1_Bloc_1-28x3	09AX27	KUH-39	11	13	9.71058158	5.59991692	5.05033245
B4est_1_Bloc_1-28x3	09AX27	OLO-10	12	13	10.01162197	29.13400191	3.96009962
B4est_1_Bloc_1-28x3	09AX27	VDL-34	13	13	11.11657638	16.06885732	2.26699757
B4est_1_Bloc_1-28x3	09AX27	NOH-15	14	13	10.245899	12.84992263	3.68446519
B4est_1_Bloc_1-28x3	09AX27	SN-16	1	14	8.98983713	11.21234076	4.87764741
B4est_1_Bloc_1-28x3	09AX27	SN-05	2	14	12.63343142	0.875589380000001	3.98675707
B4est_1_Bloc_1-28x3	09AX27	ALL-006	3	14	10.24943786	7.21838756	4.63398462
B4est_1_Bloc_1-28x3	09AX27	6-A09	4	14	9.64184579	5.17379381	4.08020624
B4est_1_Bloc_1-28x3	09AX27	SPM-04	7	14	11.16162492	7.5400643	3.25249092
B4est_1_Bloc_1-28x3	09AX27	1-A25	8	14	11.29967199	5.85825288	3.58054053
B4est_1_Bloc_1-28x3	09AX27	PG-10	9	14	10.21445306	25.51211871	4.47573139
B4est_1_Bloc_1-28x3	09AX27	SPM-54	10	14	9.77734493	8.83973927	4.84271843
B4est_1_Bloc_1-28x3	09AX27	SSN-02	11	14	13.00465324	NA	4.54553814
B4est_1_Bloc_1-28x3	09AX27	N-45	12	14	10.26203685	14.67836091	3.78125003
B4est_1_Bloc_1-28x3	09AX27	N-56	13	14	13.0021739	11.04452841	2.5329661
B4est_1_Bloc_1-28x3	09AX27	KUH-25	14	14	10.38145286	0.734046139999999	3.77959241
B4est_1_Bloc_1-28x3	09AX27	6-J02	3	15	11.12646269	11.17888105	4.36346178
B4est_1_Bloc_1-28x3	09AX27	SN-07	4	15	NA	11.07237103	NA
B4est_1_Bloc_1-28x3	09AX27	1-J16	5	15	NA	0.53704107	NA
B4est_1_Bloc_1-28x3	09AX27	DRA-29	6	15	NA	0.17097654	NA
B4est_1_Bloc_1-28x3	09AX27	RAM-177	7	15	11.39969883	4.20009149	3.795144
B4est_1_Bloc_1-28x3	09AX27	DRA-13	8	15	NA	9.68724985	NA
B4est_1_Bloc_1-28x3	09AX27	RHN-38	9	15	8.96966844	7.34003601	5.26990372
B4est_1_Bloc_1-28x3	09AX27	STR-02	10	15	11.39969883	NA	NA
B4est_1_Bloc_1-28x3	09AX27	NL-1328	11	15	9.93898443	2.14946492	2.60738534
B4est_1_Bloc_1-28x3	09AX27	KUH-37	12	15	10.43688636	8.92461724	2.9712146
B4est_1_Bloc_1-28x3	09AX27	DRA-19	13	15	11.46612958	7.07237103	3.16213105
B4est_1_Bloc_1-28x3	09AX27	SN-45	14	15	9.93468363	8.22012483	2.74466344
B4est_1_Bloc_1-28x3	09AX27	1-A09	1	16	NA	NA	3.76923949
B4est_1_Bloc_1-28x3	09AX27	6-A26	2	16	10.20394547	6.43853854	3.90291667
B4est_1_Bloc_1-28x3	09AX27	BDG	3	16	13.70134025	-3.69207697	3.89887335
