Block	Strain	Genotype	X	Y	Latence	NbSS	Taille
B4est_1_Bloc_1-28x3	93JE3	N-35	1	1	9.41822608	14.36572601	3.05745885
B4est_1_Bloc_1-28x3	93JE3	NOH-13	2	1	10.73209457	14.87693145	2.03501969
B4est_1_Bloc_1-28x3	93JE3	N-1	3	1	9.2499111	9.50885996	3.94741109
B4est_1_Bloc_1-28x3	93JE3	6-A18	4	1	9.15070772	13.6581477	3.75391447
B4est_1_Bloc_1-28x3	93JE3	SSN-01	5	1	8.83683924	21.80743544	3.53511713
B4est_1_Bloc_1-28x3	93JE3	BDX-09	6	1	9.41413538	12.97307648	2.88129958
B4est_1_Bloc_1-28x3	93JE3	71077-308	7	1	9.4305808	14.51501375	4.16337116
B4est_1_Bloc_1-28x3	93JE3	KUH-56	8	1	9.02297074	25.6643015	4.45037009
B4est_1_Bloc_1-28x3	93JE3	ERS-18	9	1	9.81348142	13.24914487	4.36100323
B4est_1_Bloc_1-28x3	93JE3	92510-1	10	1	9.47843596	8.30435855	2.77557119
B4est_1_Bloc_1-28x3	93JE3	KUH-39	11	1	9.63939431	17.25736933	4.84328132
B4est_1_Bloc_1-28x3	93JE3	OLO-10	12	1	10.13889392	12.43931584	3.23661512
B4est_1_Bloc_1-28x3	93JE3	VDL-34	13	1	11.24738604	2.88717906	1.86845269
B4est_1_Bloc_1-28x3	93JE3	NOH-15	14	1	9.73209457	12.54772035	5.23157276
B4est_1_Bloc_1-28x3	93JE3	SN-16	1	2	9.26713129	13.94036989	2.9727118
B4est_1_Bloc_1-28x3	93JE3	SN-05	2	2	9.17406554	9.34321893	3.40568666
B4est_1_Bloc_1-28x3	93JE3	ALL-006	3	2	9.24377347	11.13054086	5.40568666
B4est_1_Bloc_1-28x3	93JE3	6-A09	4	2	8.82516032	9.2961819	4.70923104
B4est_1_Bloc_1-28x3	93JE3	SPM-04	7	2	8.84851813	4.50068331	4.57980057
B4est_1_Bloc_1-28x3	93JE3	1-A25	8	2	8.49961293	19.17757789	3.53511714
B4est_1_Bloc_1-28x3	93JE3	PG-10	9	2	8.97625512	3.51703662	3.53511713
B4est_1_Bloc_1-28x3	93JE3	SPM-54	10	2	8.84851814	14.58658073	4.27625618
B4est_1_Bloc_1-28x3	93JE3	SSN-02	11	2	10.51877112	2.78746194	3.14644996
B4est_1_Bloc_1-28x3	93JE3	N-45	12	2	11.27835803	7.10239071	2.25594581
B4est_1_Bloc_1-28x3	93JE3	N-56	13	2	9.60029286	13.45617987	4.79317979
B4est_1_Bloc_1-28x3	93JE3	KUH-25	14	2	9.63532958	12.27418554	4.3155215
B4est_1_Bloc_1-28x3	93JE3	6-J02	3	3	8.27474547	5.98378671	4.09672417
B4est_1_Bloc_1-28x3	93JE3	SN-07	4	3	9.27474546	12.25167845	5.01197712
B4est_1_Bloc_1-28x3	93JE3	1-J16	5	3	9.61197176	12.03900039	4.3155215
B4est_1_Bloc_1-28x3	93JE3	DRA-29	6	3	9.05394273	9.03900039	4.4896354
B4est_1_Bloc_1-28x3	93JE3	RAM-177	7	3	8.63532958	14.3846129	3.44495197
B4est_1_Bloc_1-28x3	93JE3	DRA-13	8	3	10.77474547	4.83449897	2.95697038
B4est_1_Bloc_1-28x3	93JE3	RHN-38	9	3	8.96087698	6.78746194	4.83786321
B4est_1_Bloc_1-28x3	93JE3	STR-02	10	3	9.28642437	19.03900039	5.18609102
B4est_1_Bloc_1-28x3	93JE3	NL-1328	11	3	10.73886485	0.31506878	2.76679627
B4est_1_Bloc_1-28x3	93JE3	KUH-37	12	3	9.54226382	16.80996902	3.79317979
B4est_1_Bloc_1-28x3	93JE3	DRA-19	13	3	8.44919806	20.23532515	5.3155215
B4est_1_Bloc_1-28x3	93JE3	SN-45	14	3	10.01890602	5.21281807	3.74849636
B4est_1_Bloc_1-28x3	93JE3	1-A09	1	4	10.56593787	3.88153601	2.1445511
B4est_1_Bloc_1-28x3	93JE3	6-A26	2	4	9.10029286	13.98378671	3.79317978
B4est_1_Bloc_1-28x3	93JE3	BDG	3	4	8.37949013	18.25167846	3.96729369
B4est_1_Bloc_1-28x3	93JE3	DRA-32	4	4	8.35613232	17.73224826	4.96729369
B4est_1_Bloc_1-28x3	93JE3	71041-3-402	5	4	9.63532957	6.96743342	NA
B4est_1_Bloc_1-28x3	93JE3	N-60	6	4	10.44919807	11.72123041	3.44495197
B4est_1_Bloc_1-28x3	93JE3	SSN-05	7	4	9.15372703	7.17188672	4.48855163
B4est_1_Bloc_1-28x3	93JE3	ALL-008	8	4	10.73970875	3.74860155	2.70381294
B4est_1_Bloc_1-28x3	93JE3	SSN-15	9	4	8.12334125	11.17395769	3.79946256
B4est_1_Bloc_1-28x3	93JE3	KUH-36	10	4	8.37949012	14.87335935	3.96729369
B4est_1_Bloc_1-28x3	93JE3	CTR-05	11	4	9.84377759	3.48070982	3.51315357
B4est_1_Bloc_1-28x3	93JE3	ALL-017	12	4	9.55010198	6.97561006	4.66579467
B4est_1_Bloc_1-28x3	93JE3	N-19	13	4	NA	6.80996902	NA
B4est_1_Bloc_1-28x3	93JE3	N-59	14	4	9.69335862	8.73224826	4.4896354
B4est_1_Bloc_1-28x3	93JE3	NOH-28	1	5	9.62365068	19.34575252	5.3155215
B4est_1_Bloc_1-28x3	93JE3	SN-04	2	5	NA	6.18011148	NA
B4est_1_Bloc_1-28x3	93JE3	NL-1421	3	5	10.03058492	1.99196335	2.51926873
B4est_1_Bloc_1-28x3	93JE3	DRA-22	4	5	8.94919807	15.29053884	3.96729369
B4est_1_Bloc_1-28x3	93JE3	N-39	5	5	9.39116903	17.63615134	3.01197712
B4est_1_Bloc_1-28x3	93JE3	DRA-40	6	5	9.63600539	10.07786077	3.2473199
B4est_1_Bloc_1-28x3	93JE3	VDL-52	7	5	7.37949012	34.76090914	4.96729369
B4est_1_Bloc_1-28x3	93JE3	KUH-55	8	5	9.44919806	11.5032169	3.79317979
B4est_1_Bloc_1-28x3	93JE3	SSC	9	5	9.96087697	18.58911432	3.76354646
B4est_1_Bloc_1-28x3	93JE3	1-A04	10	5	8.86781122	19.34575252	4.4896354
B4est_1_Bloc_1-28x3	93JE3	ERS-17	11	5	8.94919807	16.57478387	3.92261026
B4est_1_Bloc_1-28x3	93JE3	KUH-53	12	5	9.65868739	13.14947586	3.9049858
B4est_1_Bloc_1-28x3	93JE3	DRA-45	13	5	8.46101187	13.39278955	5.96225133
B4est_1_Bloc_1-28x3	93JE3	KUH-50	14	5	9.20503752	19.36210581	5.3155215
B4est_1_Bloc_1-28x3	93JE3	N-61	1	6	9.08882222	16.35707335	4.15953284
B4est_1_Bloc_1-28x3	93JE3	RAM-188	2	6	10.46087697	19.06968412	3.653426
B4est_1_Bloc_1-28x3	93JE3	BDX-03	3	6	9.03058492	22.13307445	3.96729369
B4est_1_Bloc_1-28x3	93JE3	ALL-020	4	6	10.56917815	4.92650237	2.31192273
B4est_1_Bloc_1-28x3	93JE3	ALL-026	5	6	9.50709221	12.05535369	2.76151532
B4est_1_Bloc_1-28x3	93JE3	OLO-06	7	6	11.05394272	11.95925677	2.66374931
B4est_1_Bloc_1-28x3	93JE3	1-A26	8	6	9.77474546	7.74042491	3.61906588
B4est_1_Bloc_1-28x3	93JE3	N-11	9	6	9.44919807	14.77928529	4.3155215
B4est_1_Bloc_1-28x3	93JE3	N-5	10	6	9.21671643	14.02264709	4.36020492
B4est_1_Bloc_1-28x3	93JE3	ALL-099	11	6	9.39116903	9.39278955	5.01197712
B4est_1_Bloc_1-28x3	93JE3	AST-006	12	6	9.18167971	10.99196336	3.92261027
B4est_1_Bloc_1-28x3	93JE3	KUH-44	13	6	NA	10.90404309	NA
B4est_1_Bloc_1-28x3	93JE3	SN-02	14	6	9.21671643	13.75475535	5.36020492
B4est_1_Bloc_1-28x3	93JE3	SN-40	1	7	8.37949013	9.81814567	5.01197712
B4est_1_Bloc_1-28x3	93JE3	DRA-31	2	7	10.13532958	7.03082374	1.96729369
B4est_1_Bloc_1-28x3	93JE3	1-A08	3	7	8.18574443	13.88515621	6.14682571
B4est_1_Bloc_1-28x3	93JE3	N-66	4	7	10.4403745	5.94239274	3.16050581
B4est_1_Bloc_1-28x3	93JE3	ALL-013	5	7	8.08099978	16.31051234	4.84459277
B4est_1_Bloc_1-28x3	93JE3	6-A30	6	7	9.82516032	14.6417944	2.92802838
B4est_1_Bloc_1-28x3	93JE3	KUH-33	7	7	9.55764197	6.72971468	3.70923104
B4est_1_Bloc_1-28x3	93JE3	KUH-51	8	7	10.56963711	3.35957223	2.59518059
B4est_1_Bloc_1-28x3	93JE3	1-A02	9	7	9.41822608	25.02011351	4.05745885
B4est_1_Bloc_1-28x3	93JE3	ALL-014	10	7	8.58099978	14.07532719	4.01277542
B4est_1_Bloc_1-28x3	93JE3	ALL-034	11	7	9.01129183	16.22461492	5.45037008
B4est_1_Bloc_1-28x3	93JE3	N-54	12	7	NA	11.84629583	3.57980057
B4est_1_Bloc_1-28x3	93JE3	6-A25	13	7	9.03924451	9.8986683	3.51376175
B4est_1_Bloc_1-28x3	93JE3	ALL-015	14	7	8.85523669	19.61928732	3.60115595
B4est_1_Bloc_1-28x3	93JE3	6-J17	1	8	10.33663097	8.72123504	2.16876409
B4est_1_Bloc_1-28x3	93JE3	N-22	2	8	9.59236926	-0.0576072599999993	3.71551382
B4est_1_Bloc_1-28x3	93JE3	N-28	3	8	8.17406553	14.69700809	4.70923104
B4est_1_Bloc_1-28x3	93JE3	NL-1138	4	8	10.48725821	3.02829016	2.47388826
B4est_1_Bloc_1-28x3	93JE3	ALL-005	5	8	9.82131958	11.26549816	3.58184593
B4est_1_Bloc_1-28x3	93JE3	SN-18	6	8	11.61603649	3.38207931	NA
B4est_1_Bloc_1-28x3	93JE3	N-12	7	8	9.17406554	15.57022743	4.45037009
B4est_1_Bloc_1-28x3	93JE3	ALL-012	8	8	9.02297074	13.20826163	4.62448399
B4est_1_Bloc_1-28x3	93JE3	KUH-42	9	8	9.10435759	9.63361776	3.10214228
B4est_1_Bloc_1-28x3	93JE3	LRD-04	10	8	10.16238663	2.56691484	2.7835478
B4est_1_Bloc_1-28x3	93JE3	NOH-45	11	8	10.01129184	12.64179441	3.57980057
B4est_1_Bloc_1-28x3	93JE3	ALL-002	12	8	9.32516033	13.6417944	2.88334495
B4est_1_Bloc_1-28x3	93JE3	N-46	13	8	9.82516032	6.86264912	3.75391447
B4est_1_Bloc_1-28x3	93JE3	ALL-041	14	8	8.36019704	31.38005645	4.75391447
B4est_1_Bloc_1-28x3	93JE3	DRA-06	1	9	9.55764197	15.11418757	5.05745886
B4est_1_Bloc_1-28x3	93JE3	SN-01	2	9	9.66238662	14.64997106	3.23157276
B4est_1_Bloc_1-28x3	93JE3	VDL-24	3	9	8.01129183	17.58658073	4.27625618
B4est_1_Bloc_1-28x3	93JE3	AST-005	4	9	9.16238662	9.17757789	3.05745885
B4est_1_Bloc_1-28x3	93JE3	ALL-011	5	9	9.41822609	8.99765454	3.9057841
B4est_1_Bloc_1-28x3	93JE3	KUH-29	6	9	9.32900107	13.59475738	4.4036413
B4est_1_Bloc_1-28x3	93JE3	6-J32	7	9	8.65070773	9.28800525	4.57980057
B4est_1_Bloc_1-28x3	93JE3	ALL-021	8	9	9.30201078	13.0040632	5.4238119
B4est_1_Bloc_1-28x3	93JE3	RHN-28	9	9	8.83683923	21.16940124	3.57980056
B4est_1_Bloc_1-28x3	93JE3	KUH-54	10	9	9.49333287	21.08657934	3.59406822
B4est_1_Bloc_1-28x3	93JE3	OLO-01	11	9	10.21583381	14.73595147	2.91235137
B4est_1_Bloc_1-28x3	93JE3	SN-26	12	9	9.78554175	17.68891444	3.7829209
B4est_1_Bloc_1-28x3	93JE3	SN-42	13	9	8.39642403	3.51379397	4.67287314
B4est_1_Bloc_1-28x3	93JE3	SN-33	14	9	10.3902864	6.90976915	4.47937652
B4est_1_Bloc_1-28x3	93JE3	1-J30	1	10	9.05306011	19.42102269	2.9570348
B4est_1_Bloc_1-28x3	93JE3	LOW-1	2	10	9.89028641	1.80751845	2.9570348
B4est_1_Bloc_1-28x3	93JE3	N-23	3	10	10.13444695	8.5232734	3.43469309
B4est_1_Bloc_1-28x3	93JE3	ERS-10	4	10	9.69284148	21.38013946	3.74285728
B4est_1_Bloc_1-28x3	93JE3	LRD-03	5	10	10.55306011	4.23287458	2.95703481
B4est_1_Bloc_1-28x3	93JE3	BDX-02	6	10	9.85258571	14.11725514	2.8528117
B4est_1_Bloc_1-28x3	93JE3	VDL-32	7	10	9.14612587	24.91794581	4.47937652
B4est_1_Bloc_1-28x3	93JE3	NOH-06	8	10	9.6398458	19.47931188	3.31953027
B4est_1_Bloc_1-28x3	93JE3	ALL-174	9	10	9.96553564	5.4210227	NA
B4est_1_Bloc_1-28x3	93JE3	NOH-10	10	10	9.2158338	15.64187741	3.08646528
B4est_1_Bloc_1-28x3	93JE3	CTR-09	11	10	10.13444695	-1.97162684	3.13114871
B4est_1_Bloc_1-28x3	93JE3	NOH-25	12	10	9.13444696	37.83820218	4.95703481
B4est_1_Bloc_1-28x3	93JE3	N-36	13	10	8.0530601	21.09176349	3.95703481
B4est_1_Bloc_1-28x3	93JE3	SN-12	14	10	9.45999435	9.9179458	4.30526262
B4est_1_Bloc_1-28x3	93JE3	NL-1210	1	11	9.13444696	6.34330194	3.9570348
B4est_1_Bloc_1-28x3	93JE3	AST-008	2	11	9.32057847	9.62552412	4.65349042
B4est_1_Bloc_1-28x3	93JE3	ALL-019	3	11	10.79722066	2.60301702	3.43469309
B4est_1_Bloc_1-28x3	93JE3	BDX-08	4	11	9.45999435	9.38216231	4.08646529
B4est_1_Bloc_1-28x3	93JE3	N-63	7	11	9.01883589	29.1613076	4.7829209
B4est_1_Bloc_1-28x3	93JE3	DRA-38	8	11	8.30889956	17.21652128	4.13114871
B4est_1_Bloc_1-28x3	93JE3	SN-25	11	11	10.06473901	2.92612245	3.65349043
B4est_1_Bloc_1-28x3	93JE3	1-J07	12	11	9.14612586	12.18583754	4.30526262
B4est_1_Bloc_1-28x3	93JE3	STR-20	13	11	8.56473901	18.05905689	4.1208254
B4est_1_Bloc_1-28x3	93JE3	SN-11	14	11	8.40196531	9.26355831	3.95703481
B4est_1_Bloc_1-28x3	93JE3	KUH-34	1	12	9.54341734	-0.916413160000001	2.90648896
B4est_1_Bloc_1-28x3	93JE3	STR-21	2	12	9.692476	-1.33974643	4.08646528
B4est_1_Bloc_1-28x3	93JE3	KUH-52	3	12	8.98963223	6.45680758	3.76865324
B4est_1_Bloc_1-28x3	93JE3	N-50	4	12	9.64612587	7.33512529	4.608807
B4est_1_Bloc_1-28x3	93JE3	N-8	5	12	9.63444696	10.82387174	3.608807
B4est_1_Bloc_1-28x3	93JE3	N-43	6	12	9.05306011	5.2962649	4.26057918
B4est_1_Bloc_1-28x3	93JE3	1-J19	7	12	7.66948367	17.36580902	4.34994604
B4est_1_Bloc_1-28x3	93JE3	N-29	8	12	8.73919161	11.06723354	4.9570348
