Ind	Q1	Q2	Q3	Q4
BDX-02	9.9991e-05	0.961718	0.0159434	0.0222385
BDX-03	0.0200679	0.88684	9.9991e-05	0.0929918
BDX-08	9.9982e-05	0.950466	9.9982e-05	0.0493336
CTR-05	9.9991e-05	0.898833	0.00503997	0.0960269
CTR-09	9.9982e-05	0.931877	9.9982e-05	0.0679231
71041-3-402	0.139196	0.413911	0.311672	0.135221
71077-308	9.99914e-05	0.451139	0.174262	0.374499
BDG	9.99911e-05	0.325691	0.515479	0.15873
DRA-06	0.22549	0.426878	0.307096	0.040536
LRD-04	9.9982e-05	0.906365	9.9982e-05	0.0934355
N-1	0.0563411	9.9982e-05	0.943459	9.9982e-05
OLO-06	9.9982e-05	0.979745	9.9982e-05	0.0200555
OLO-10	9.9991e-05	0.848133	0.00316883	0.148598
PG-10	9.9991e-05	0.285105	0.514952	0.199843
SSN-01	9.9982e-05	0.984069	0.0157308	9.9982e-05
SSN-02	9.9982e-05	0.919894	9.9982e-05	0.0799056
SSN-05	9.99821e-05	0.952798	9.99821e-05	0.0470018
SSN-15	9.9982e-05	0.893452	9.9982e-05	0.106348
DRA-13	0.0671687	0.277687	0.58165	0.073494
DRA-19	0.231473	0.358043	0.28651	0.123974
DRA-22	0.227314	0.347188	0.307604	0.117894
DRA-24	0.156676	0.432114	0.282502	0.128709
DRA-29	0.186083	0.368885	0.359587	0.0854455
DRA-31	0.172662	0.467544	0.314833	0.0449599
DRA-32	0.247402	0.343371	0.279221	0.130006
DRA-38	0.252216	0.399471	0.258641	0.089672
DRA-40	0.223411	0.292577	0.375595	0.108417
DRA-45	0.22289	0.334998	0.322084	0.120028
ERS-10	0.381485	0.226333	0.252949	0.139232
BDX-09	9.9982e-05	0.96484	9.9982e-05	0.0349596
KUH-29	0.558303	9.9991e-05	0.375607	0.0659895
KUH-36	0.9997	9.998e-05	9.998e-05	9.998e-05
KUH-37	0.9997	9.998e-05	9.998e-05	9.998e-05
KUH-39	0.639375	0.0684797	0.228774	0.0633705
KUH-42	0.638925	9.9991e-05	0.313551	0.0474235
KUH-44	0.9997	9.998e-05	9.998e-05	9.998e-05
KUH-50	0.9997	9.998e-05	9.998e-05	9.998e-05
KUH-51	0.617688	0.0577196	0.234927	0.0896659
KUH-52	0.9997	9.998e-05	9.998e-05	9.998e-05
KUH-53	0.9997	9.998e-05	9.998e-05	9.998e-05
KUH-54	0.9997	9.998e-05	9.998e-05	9.998e-05
KUH-55	0.9997	9.998e-05	9.998e-05	9.998e-05
KUH-56	0.987727	9.9982e-05	9.9982e-05	0.012073
92510-1	0.0408231	0.497996	0.052187	0.408994
