Block	Strain	Genotype	X	Y	Latence	NbSS	Taille
B4est_1_Bloc_1-28x3	P72	N-35	15	1	11.66382952	5.00509294	0.76511554
B4est_1_Bloc_1-28x3	P72	NOH-13	16	1	9.53941226	5.60268646	2.70500368
B4est_1_Bloc_1-28x3	P72	N-1	17	1	9.52429801	5.44941499	2.96397837
B4est_1_Bloc_1-28x3	P72	6-A18	18	1	9.07724817	20.7025608	3.30351011
B4est_1_Bloc_1-28x3	P72	SSN-01	19	1	8.98751678	29.77947196	2.93947796
B4est_1_Bloc_1-28x3	P72	BDX-09	20	1	9.40484955	21.6688973	2.60973031
B4est_1_Bloc_1-28x3	P72	71077-308	21	1	8.77276046	25.73700557	2.85839787
B4est_1_Bloc_1-28x3	P72	KUH-56	22	1	8.58598629	16.44595502	3.41041756
B4est_1_Bloc_1-28x3	P72	ERS-18	23	1	10.44094274	7.44194421	2.90420457
B4est_1_Bloc_1-28x3	P72	92510-1	24	1	8.94094274	6.72552398	4.05771062
B4est_1_Bloc_1-28x3	P72	KUH-39	25	1	9.53509884	18.55330014	3.39369372
B4est_1_Bloc_1-28x3	P72	OLO-10	26	1	9.11193403	27.28120195	2.88135716
B4est_1_Bloc_1-28x3	P72	VDL-34	27	1	9.36842097	14.61817886	2.70500368
B4est_1_Bloc_1-28x3	P72	NOH-15	28	1	9.22337741	16.54527851	2.82323635
B4est_1_Bloc_1-28x3	P72	SN-16	15	2	9.94094274	0.91324022	2.88135715
B4est_1_Bloc_1-28x3	P72	SN-05	16	2	7.94094274	25.23527558	3.88135715
B4est_1_Bloc_1-28x3	P72	ALL-006	17	2	9.6249079	5.52231533	3.17594328
B4est_1_Bloc_1-28x3	P72	6-A09	18	2	8.95391661	29.28466191	1.99958981
B4est_1_Bloc_1-28x3	P72	SPM-04	21	2	9.28292532	13.56077092	3.17594328
B4est_1_Bloc_1-28x3	P72	1-A25	22	2	9.6844558	24.5877449	3.58677102
B4est_1_Bloc_1-28x3	P72	PG-10	23	2	10.07055954	8.60669728	2.06502041
B4est_1_Bloc_1-28x3	P72	SPM-54	24	2	9.75697758	18.96317739	3.2921849
B4est_1_Bloc_1-28x3	P72	SSN-02	25	2	NA	4.85583227	NA
B4est_1_Bloc_1-28x3	P72	N-45	26	2	8.61193403	24.26972035	2.52865022
B4est_1_Bloc_1-28x3	P72	N-56	27	2	10.19742968	5.25422795	3.23406409
B4est_1_Bloc_1-28x3	P72	KUH-25	28	2	9.62067215	8.91324023	3.517325
B4est_1_Bloc_1-28x3	P72	6-J02	17	3	9.36842096	47.69107921	2.70500369
B4est_1_Bloc_1-28x3	P72	SN-07	18	3	8.84247322	18.36157308	3.29218489
B4est_1_Bloc_1-28x3	P72	1-J16	19	3	9.35317932	13.53780773	2.99660673
B4est_1_Bloc_1-28x3	P72	DRA-29	20	3	10.22337742	27.31564672	2.64688287
B4est_1_Bloc_1-28x3	P72	RAM-177	21	3	10.29816696	1.97064818	3.17892636
B4est_1_Bloc_1-28x3	P72	DRA-13	22	3	9.72832118	9.14688284	1.77601543
B4est_1_Bloc_1-28x3	P72	RHN-38	23	3	9.44094274	15.98614058	3.23406408
B4est_1_Bloc_1-28x3	P72	STR-02	24	3	9.19742967	17.9631774	3.05771062
B4est_1_Bloc_1-28x3	P72	NL-1328	25	3	7.74400371	15.12391965	4.46853837
B4est_1_Bloc_1-28x3	P72	KUH-37	26	3	9.11193403	7.3116359	3.05771062
B4est_1_Bloc_1-28x3	P72	DRA-19	27	3	8.94094274	16.19682	3.35229675
B4est_1_Bloc_1-28x3	P72	SN-45	28	3	8.76995145	34.29268354	3.58677103
B4est_1_Bloc_1-28x3	P72	1-A09	15	4	9.09896016	19.51484455	3.58677103
B4est_1_Bloc_1-28x3	P72	6-A26	16	4	8.25697758	57.13595208	3.93947796
B4est_1_Bloc_1-28x3	P72	BDG	17	4	9.88139483	22.671576	3.23406409
B4est_1_Bloc_1-28x3	P72	DRA-32	18	4	8.51346451	15.03206693	3.41041756
B4est_1_Bloc_1-28x3	P72	71041-3-402	19	4	9.03941226	19.11990884	3.35229675
B4est_1_Bloc_1-28x3	P72	N-60	20	4	10.3904869	-0.5465742	2.0260442
B4est_1_Bloc_1-28x3	P72	SSN-05	21	4	10.23635129	16.10734186	2.47052941
B4est_1_Bloc_1-28x3	P72	ALL-008	22	4	8.85544709	22.32712831	4.05771062
B4est_1_Bloc_1-28x3	P72	SSN-15	23	4	9.61193403	17.69107921	3.17594328
B4est_1_Bloc_1-28x3	P72	KUH-36	24	4	9.88139483	12.6870684	1.82323634
B4est_1_Bloc_1-28x3	P72	CTR-05	25	4	10.1844558	17.87879546	3.41041756
B4est_1_Bloc_1-28x3	P72	ALL-017	26	4	8.40202113	14.99762217	3.58677103
B4est_1_Bloc_1-28x3	P72	N-19	27	4	8.3554471	17.45342579	4.70500369
B4est_1_Bloc_1-28x3	P72	N-59	28	4	8.1844558	24.55330013	4.05771062
B4est_1_Bloc_1-28x3	P72	NOH-28	15	5	10.1249079	1.15836443	2.88135715
B4est_1_Bloc_1-28x3	P72	SN-04	16	5	8.76995145	27.96317739	4.52865022
B4est_1_Bloc_1-28x3	P72	NL-1421	17	5	8.50049064	21.50336297	3.93947796
B4est_1_Bloc_1-28x3	P72	DRA-22	18	5	9.42796887	21.61070809	2.52865022
B4est_1_Bloc_1-28x3	P72	N-39	19	5	9.61193403	11.21978318	3.05771062
B4est_1_Bloc_1-28x3	P72	DRA-40	20	5	NA	15.72953479	NA
B4est_1_Bloc_1-28x3	P72	VDL-52	21	5	9.95391661	13.59120487	3.70500369
B4est_1_Bloc_1-28x3	P72	KUH-55	22	5	10.41437656	20.51885536	2.30818231
B4est_1_Bloc_1-28x3	P72	SSC	23	5	10.36842097	8.53780773	2.35229675
B4est_1_Bloc_1-28x3	P72	1-A04	24	5	8.61193403	40.23527558	3.88135715
B4est_1_Bloc_1-28x3	P72	ERS-17	25	5	9.73229011	-0.89904353	2.67022719
B4est_1_Bloc_1-28x3	P72	KUH-53	26	5	NA	11.94021421	NA
B4est_1_Bloc_1-28x3	P72	DRA-45	27	5	8.6249079	28.82484748	3.52865021
B4est_1_Bloc_1-28x3	P72	KUH-50	28	5	8.53941225	30.30361429	4.05771062
B4est_1_Bloc_1-28x3	P72	N-61	15	6	8.76575939	16.8526626	3.36534818
B4est_1_Bloc_1-28x3	P72	RAM-188	16	6	9.79589919	0.920711000000001	2.99958981
B4est_1_Bloc_1-28x3	P72	BDX-03	17	6	8.6143869	12.49188137	4.2848751
B4est_1_Bloc_1-28x3	P72	ALL-020	18	6	9.97860408	12.61070809	2.26884058
B4est_1_Bloc_1-28x3	P72	ALL-026	19	6	9.25697758	28.10095648	3.29218489
B4est_1_Bloc_1-28x3	P72	OLO-06	21	6	NA	NA	NA
B4est_1_Bloc_1-28x3	P72	1-A26	22	6	9.01346452	34.79842433	4.11583143
B4est_1_Bloc_1-28x3	P72	N-11	23	6	9.85544709	15.35009149	3.52865021
B4est_1_Bloc_1-28x3	P72	N-5	24	6	9.09896016	18.48039978	3.76312449
B4est_1_Bloc_1-28x3	P72	ALL-099	25	6	7.68445581	40.99762217	3.88135715
B4est_1_Bloc_1-28x3	P72	AST-006	26	6	10.69822993	19.5567601	1.88489372
B4est_1_Bloc_1-28x3	P72	KUH-44	27	6	9.67148193	8.67959762	3.93947796
B4est_1_Bloc_1-28x3	P72	SN-02	28	6	10.42796887	7.46490738	3.23406409
B4est_1_Bloc_1-28x3	P72	SN-40	15	7	8.414995	18.91725104	3.76312449
B4est_1_Bloc_1-28x3	P72	DRA-31	16	7	8.53941225	36.19682	3.17594328
B4est_1_Bloc_1-28x3	P72	1-A08	17	7	9.02643839	18.19682001	4.11583143
B4est_1_Bloc_1-28x3	P72	N-66	18	7	9.36842097	24.52632614	3.99958981
B4est_1_Bloc_1-28x3	P72	ALL-013	19	7	9.10912502	38.8328691	3.78608377
B4est_1_Bloc_1-28x3	P72	6-A30	20	7	8.02643839	17.00910376	4.35229675
B4est_1_Bloc_1-28x3	P72	KUH-33	21	7	9.48754491	-3.43175831	3.06779841
B4est_1_Bloc_1-28x3	P72	KUH-51	22	7	9.42796887	18.59521568	3.41041755
B4est_1_Bloc_1-28x3	P72	1-A02	23	7	9.28292532	15.05101931	3.70500369
B4est_1_Bloc_1-28x3	P72	ALL-014	24	7	11.28292532	0.545278510000001	1.58677102
B4est_1_Bloc_1-28x3	P72	ALL-034	25	7	8.991061	18.14772397	4.19276795
B4est_1_Bloc_1-28x3	P72	N-54	26	7	9.64731141	3.52548501	2.09900676
B4est_1_Bloc_1-28x3	P72	6-A25	27	7	7.68445581	31.60669727	3.93947796
B4est_1_Bloc_1-28x3	P72	ALL-015	28	7	10.39436871	-5.74978286	1.29417594
B4est_1_Bloc_1-28x3	P72	6-J17	15	8	9.45391661	4.25021714	3.88135715
B4est_1_Bloc_1-28x3	P72	N-22	16	8	7.17148194	36.35410229	3.7631245
B4est_1_Bloc_1-28x3	P72	N-28	17	8	9.31652548	19.36157308	2.93947796
B4est_1_Bloc_1-28x3	P72	NL-1138	18	8	10.71040355	5.26570954	1.82323635
B4est_1_Bloc_1-28x3	P72	ALL-005	19	8	10.56597843	8.06997167	1.04370425
B4est_1_Bloc_1-28x3	P72	SN-18	20	8	9.02643839	20.53780774	4.41041755
B4est_1_Bloc_1-28x3	P72	N-12	21	8	9.45391661	15.14688283	3.35229675
B4est_1_Bloc_1-28x3	P72	ALL-012	22	8	9.01346452	8.71404239	3.58677102
B4est_1_Bloc_1-28x3	P72	KUH-42	23	8	9.96406206	22.2304835	2.56381174
B4est_1_Bloc_1-28x3	P72	LRD-04	24	8	8.85544709	17.28867272	4.23406409
B4est_1_Bloc_1-28x3	P72	NOH-45	25	8	8.17148194	21.55330013	3.46853836
B4est_1_Bloc_1-28x3	P72	ALL-002	26	8	8.69742967	29.15089365	3.70500369
B4est_1_Bloc_1-28x3	P72	N-46	27	8	8.09896016	28.66811603	4.41041755
B4est_1_Bloc_1-28x3	P72	ALL-041	28	8	10.00480406	3.72151317	2.60349486
B4est_1_Bloc_1-28x3	P72	DRA-06	15	9	8.35544709	15.36904385	3.93947796
B4est_1_Bloc_1-28x3	P72	SN-01	16	9	9.82552055	2.0779933	1.591156
