Ind	Q1	Q2	Q3	Q4
BDX-02	0.0145132	9.99821e-05	0.985287	9.99821e-05
BDX-03	9.9991e-05	0.0791112	0.89888	0.0219084
BDX-08	9.9982e-05	0.0387025	0.961098	9.9982e-05
CTR-05	0.0066564	0.0964613	0.896782	9.9991e-05
CTR-09	9.9982e-05	0.0546214	0.945179	9.9982e-05
71041-3-402	0.314348	0.10845	0.425144	0.152058
71077-308	0.177493	0.443948	0.378459	9.99914e-05
BDG	0.518398	0.155984	0.325518	9.99911e-05
DRA-06	0.290189	0.0514931	0.422834	0.235484
LRD-04	9.9982e-05	0.0943653	0.905435	9.9982e-05
N-1	0.956622	9.9982e-05	9.9982e-05	0.0431778
OLO-06	9.9982e-05	0.0298175	0.969983	9.9982e-05
OLO-10	0.00221739	0.149121	0.830433	0.0182288
PG-10	0.513612	0.215653	0.270634	9.9991e-05
SSN-01	0.0156089	9.9982e-05	0.984191	9.9982e-05
SSN-02	9.9982e-05	0.0505926	0.949207	9.9982e-05
SSN-05	0.0071195	0.03286	0.95992	9.9991e-05
SSN-15	9.9982e-05	0.0851068	0.914693	9.9982e-05
DRA-13	0.577724	0.0980532	0.263734	0.0604885
DRA-19	0.298649	0.105442	0.376423	0.219486
DRA-22	0.305657	0.132736	0.34017	0.221437
DRA-24	0.287453	0.115129	0.430629	0.166788
DRA-29	0.346708	0.0745858	0.379498	0.199208
DRA-31	0.310006	0.0564752	0.446382	0.187137
DRA-32	0.298468	0.127664	0.341179	0.232688
DRA-38	0.285956	0.0506269	0.412518	0.250899
DRA-40	0.381753	0.094955	0.300784	0.222509
DRA-45	0.338811	0.104159	0.338728	0.218302
ERS-10	0.245767	0.150062	0.222706	0.381465
BDX-09	9.9991e-05	0.00530674	0.982434	0.012159
KUH-29	0.376626	0.0801775	9.9991e-05	0.543097
KUH-36	9.998e-05	9.998e-05	9.998e-05	0.9997
KUH-37	9.998e-05	9.998e-05	9.998e-05	0.9997
KUH-39	0.239585	0.0443388	0.0800778	0.635998
KUH-42	0.314348	0.0454686	9.9991e-05	0.640083
KUH-44	9.998e-05	9.998e-05	9.998e-05	0.9997
KUH-50	9.998e-05	9.998e-05	9.998e-05	0.9997
KUH-51	0.216043	0.109627	0.0382274	0.636103
KUH-52	9.998e-05	9.998e-05	9.998e-05	0.9997
KUH-53	9.998e-05	9.998e-05	9.998e-05	0.9997
KUH-54	9.998e-05	9.998e-05	9.998e-05	0.9997
KUH-55	9.998e-05	9.998e-05	9.998e-05	0.9997
KUH-56	9.9982e-05	0.0221483	9.9982e-05	0.977652
92510-1	0.0604518	0.414077	0.488835	0.0366361
ALL-006	0.0405336	0.558333	0.401034	9.9991e-05
LRD-03	9.9982e-05	0.0976889	0.902111	9.9982e-05
SPM-04	0.0470825	0.404825	0.45205	0.0960429
SPM-50	0.0338665	0.436708	0.465087	0.0643391
SPM-54	0.0252088	0.427179	0.462233	0.0853794
VDL-24	0.0485805	0.441483	0.457404	0.0525327
VDL-32	0.0546989	0.44345	0.459816	0.0420349
VDL-34	0.106214	0.370136	0.436234	0.0874158
VDL-52	0.118108	0.431359	0.396538	0.0539957
NL-1328	0.230154	0.205291	0.142607	0.421948
NL-1421	0.399819	0.0807303	0.0509886	0.468462
NOH-06	9.9991e-05	0.121975	0.795461	0.0824644
NOH-10	0.02717	0.0592345	0.903113	0.0104827
NOH-13	9.9991e-05	0.0954164	0.858818	0.0456658
NOH-15	9.9991e-05	0.136401	0.836904	0.0265951
NOH-25	9.9991e-05	0.0283338	0.926023	0.0455437
NOH-28	0.0056012	0.0769848	0.917314	9.9991e-05
NOH-45	9.9991e-05	0.174512	0.759635	0.0657525
OLO-01	9.9982e-05	0.0528196	0.94698	9.9982e-05
RAM-177	0.147344	0.223939	0.568934	0.0597825
1-A02	9.9991e-05	0.167765	0.73243	0.0997049
1-A04	9.999e-05	0.197581	0.731383	0.0709365
1-A08	9.999e-05	0.210565	0.731945	0.0573899
1-A09	9.999e-05	0.173151	0.698376	0.128373
1-A25	9.999e-05	0.159667	0.798517	0.0417158
1-A26	9.9991e-05	0.172299	0.771327	0.0562739
1-J07	9.999e-05	0.240845	0.704391	0.0546641
1-J15	9.999e-05	0.135456	0.699558	0.164887
1-J16	0.0826852	0.159468	0.651721	0.106126
1-J19	0.123706	0.138089	0.706272	0.031934
1-J30	0.114411	0.104589	0.718509	0.0624913
6-A09	9.999e-05	0.244252	0.696733	0.0589148
6-A18	0.0327055	0.147519	0.711275	0.108501
6-A25	0.0411046	0.0834144	0.768443	0.107038
6-A26	0.103903	0.16319	0.577672	0.155235
6-A30	9.9991e-05	0.161124	0.714998	0.123778
6-J02	9.9991e-05	0.1929	0.748129	0.058871
6-J17	9.9991e-05	0.160681	0.771012	0.068207
RAM-188	0.431414	0.185811	0.307709	0.0750657
RHN-28	0.352415	0.109469	0.191371	0.346745
ERS-17	0.179766	0.149092	0.246268	0.424874
ERS-18	0.204739	0.0967401	0.300081	0.39844
KUH-25	0.257618	0.0649758	9.9991e-05	0.677306
RHN-38	0.181784	0.102959	0.255267	0.45999
LOW-1	0.983888	9.99822e-05	9.99822e-05	0.0159125
STR-02	0.239148	0.119995	0.246955	0.393903
STR-20	0.222487	0.12277	0.258552	0.39619
STR-21	0.196926	0.0941522	0.304529	0.404392
ALL-002	0.0104085	0.73188	0.252265	0.0054463
ALL-005	0.0271731	0.479199	0.454004	0.0396238
N-11	0.928442	9.9982e-05	9.9982e-05	0.0713579
N-12	0.978217	9.9982e-05	9.9982e-05	0.0215834
N-15	0.997479	9.9982e-05	0.00232056	9.9982e-05
N-19	0.991944	9.99821e-05	9.99821e-05	0.00785642
N-22	0.972804	0.026996	9.9982e-05	9.9982e-05
N-23	0.93973	0.0600701	9.99821e-05	9.99821e-05
N-28	0.966069	9.9991e-05	0.0185527	0.015278
N-29	0.961228	0.0385725	9.9982e-05	9.9982e-05
N-35	0.978716	0.0121125	0.00907131	9.9991e-05
N-36	0.99316	0.00664043	9.99821e-05	9.99821e-05
N-39	0.955063	0.0165297	9.9991e-05	0.0283071
N-43	0.997922	0.00187801	9.9982e-05	9.9982e-05
N-45	0.967536	9.9982e-05	9.9982e-05	0.0322639
N-46	0.9997	9.998e-05	9.998e-05	9.998e-05
N-5	0.940117	0.0460975	0.0136853	9.9991e-05
N-50	0.934322	9.9982e-05	9.9982e-05	0.0654784
N-54	0.967004	9.9991e-05	0.0183575	0.014539
N-56	0.9997	9.998e-05	9.998e-05	9.998e-05
N-57	0.927367	0.0619284	9.9991e-05	0.0106048
N-59	0.981983	9.9982e-05	9.9982e-05	0.0178169
N-60	0.924282	0.00429226	0.0314882	0.0399372
N-61	0.9997	9.998e-05	9.998e-05	9.998e-05
N-63	0.934652	0.0461685	9.9991e-05	0.0190799
N-66	0.998604	9.9982e-05	9.9982e-05	0.00119618
N-8	0.953154	0.046646	9.9982e-05	9.9982e-05
NL-1138	0.287653	0.0605119	0.0146282	0.637207
SN-01	0.966068	0.0146374	0.00676592	0.0125292
SN-11	0.994683	9.99821e-05	0.00511702	9.99821e-05
SN-12	0.954497	0.0235236	0.0218797	9.9991e-05
SN-16	0.9997	9.998e-05	9.998e-05	9.998e-05
SN-18	0.990558	0.00921976	0.000122479	9.9991e-05
SN-02	0.965009	9.9982e-05	9.9982e-05	0.0347908
SN-25	0.980309	9.9991e-05	0.00972103	0.0098701
SN-26	0.9997	9.998e-05	9.998e-05	9.998e-05
SN-33	0.964626	9.9991e-05	0.0196929	0.0155811
SN-04	0.94318	9.9982e-05	9.9982e-05	0.0566205
SN-40	0.9934	9.99821e-05	0.00639997	9.99821e-05
SN-42	0.966017	9.9991e-05	0.00829393	0.0255889
SN-45	0.949905	0.00295659	0.0470386	9.9991e-05
